This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
236     0.746928421       0.745685612          0.00248561871      9.45046e+08     9.595e+11       1.53038                 
237     0.749418183       0.748171231          0.0024939041       9.32858e+08     9.79473e+11     1.58265                 
238     0.751916243       0.750665135          0.00250221712      9.20826e+08     9.9754e+11      1.6329                  
239     0.754422631       0.753167352          0.00251055784      9.08948e+08     1.03295e+12     1.71297                 
240     0.756937373       0.75567791           0.00251892637      8.97222e+08     1.06741e+12     1.79325                 
241     0.759460497       0.758196836          0.00252732279      8.85647e+08     1.08437e+12     1.84555                 
242     0.761992032       0.760724159          0.0025357472       8.7422e+08      1.09491e+12     1.88784                 
243     0.764532006       0.763259906          0.00254419969      8.62939e+08     1.07153e+12     1.87169                 
244     0.767080446       0.765804106          0.00255268035      8.51803e+08     1.1013e+12      1.94884                 
245     0.769637381       0.768356786          0.00256118929      8.4081e+08      1.13642e+12     2.03726                 
246     0.772202839       0.770917975          0.00256972658      8.29957e+08     1.08599e+12     1.97233                 
247     0.774776848       0.773487702          0.00257829234      8.19244e+08     1.14396e+12     2.10477                 
248     0.777359437       0.776065994          0.00258688665      8.08668e+08     1.17248e+12     2.18547                 
249     0.779950636       0.778652881          0.0025955096       7.98228e+08     1.18389e+12     2.2356                  
250     0.782550471       0.78124839           0.0026041613       7.87922e+08     1.19314e+12     2.28253                 
251     0.785158973       0.783852552          0.00261284184      7.77748e+08     1.20977e+12     2.34461                 
252     0.787776169       0.786465394          0.00262155131      7.67705e+08     1.23698e+12     2.42871                 
253     0.79040209        0.789086945          0.00263028982      7.57791e+08     1.14931e+12     2.28611                 
254     0.793036763       0.791717235          0.00263905745      7.48003e+08     1.1467e+12      2.31075                 
255     0.795680219       0.794356292          0.00264785431      7.38342e+08     1.21626e+12     2.483                   
256     0.798332487       0.797004146          0.00265668049      7.28804e+08     1.25322e+12     2.59194                 
257     0.800993595       0.799660827          0.00266553609      7.19389e+08     1.23971e+12     2.59755                 
258     0.803663574       0.802326363          0.00267442121      7.10095e+08     1.26961e+12     2.69502                 
259     0.806342452       0.805000784          0.00268333595      7.0092e+08      1.28111e+12     2.75502                 
260     0.80903026        0.80768412           0.0026922804       6.91863e+08     1.21395e+12     2.64479                 
261     0.811727028       0.810376401          0.00270125467      6.82922e+08     1.23959e+12     2.736                   
262     0.814432785       0.813077655          0.00271025885      6.74096e+08     1.30225e+12     2.91194                 
263     0.817147561       0.815787914          0.00271929305      6.65383e+08     1.35335e+12     3.06581                 
264     0.819871386       0.818507207          0.00272835736      6.56783e+08     1.35509e+12     3.10996                 
265     0.82260429        0.821235564          0.00273745188      6.48292e+08     1.40905e+12     3.27614                 
266     0.825346305       0.823973016          0.00274657672      6.39911e+08     1.39465e+12     3.28514                 
